"","X","FishID","Species","temp_bin","rate_ggd","rate_final","rep","mass","vol","trial","bath","lograte","lograte_ggd","day","no_mass_rate","mass_corrected","time"
"65",65,"Ito3","Ito",20,0.0042274242845234,2.9357113086968,41,5.6,350,1,1,1.0769497778172,-5.46616238757703,1,176.142678521808,2.04476776606174,1230
"66",66,"Ito3","Ito",20,0.0043433314809669,3.01620241733813,44,5.6,350,1,1,1.10399856239566,-5.43911360299856,1,180.972145040288,2.10083105263791,1320
"67",67,"Ito3","Ito",17,0.00303181717143646,2.10542859127532,52,5.6,350,1,1,0.74451905271596,-5.79859311267827,2,126.325715476519,1.4664631717809,1560
"68",68,"Ito3","Ito",18,0.00344116838010558,2.38970026396221,55,5.6,350,1,1,0.871167945510491,-5.67194421988374,2,143.382015837733,1.66446273372442,1650
"69",69,"Masu2","Masu",21,0.00374308974715192,2.59936787996661,44,5.6,350,2,1,0.955268292378461,-5.58784387301577,1,155.962072797997,1.81049943069893,4395
"70",70,"Masu2","Masu",19,0.00331010697415947,2.29868539872185,45,5.6,350,2,1,0.832337393756012,-5.71077477163822,1,137.921123923311,1.60106948993896,4425
"71",71,"Masu2","Masu",20,0.0037607571547652,2.61163691303139,48,5.6,350,2,1,0.959977194489678,-5.58313497090455,2,156.698214781883,1.81904499962367,4515
"72",72,"Masu2","Masu",21,0.00402460544595723,2.79486489302586,50,5.6,350,2,1,1.02778376662864,-5.51532839876559,2,167.691893581552,1.94666608628277,4575
"73",73,"Masu2","Masu",20,0.00296609891636565,2.05979091414281,55,5.6,350,2,1,0.722604479661295,-5.82050768573293,2,123.587454848569,1.434675832596,4725
"74",74,"Masu2","Masu",19,0.00342939010836345,2.38152090858573,56,5.6,350,2,1,0.867739320806938,-5.67537284458729,2,142.891254515144,1.65876568777462,4755
"75",75,"Masu2","Masu",18,0.00274958877465964,1.9094366490692,66,5.6,350,2,1,0.646808250421472,-5.89630391497276,2,114.566198944152,1.3299517904868,5055
"76",76,"Masu2","Masu",18,0.0030308794109475,2.10477736871354,68,5.6,350,2,1,0.744209698459582,-5.79890246693465,2,126.286642122812,1.46600958531995,5115
"77",77,"Masu2","Masu",19,0.00320837871631009,2.22804077521534,69,5.6,350,2,1,0.801122623161189,-5.74198954223304,2,133.68244651292,1.55186443065273,5145
"78",78,"Masu2","Masu",20,0.00353340650180605,2.45375451514309,72,5.6,350,2,1,0.897619306705911,-5.64549285868832,2,147.225270908585,1.70907749802562,5235
"79",79,"Masu2","Masu",20,0.00388011530980824,2.69452452070017,73,5.6,350,2,1,0.991221758628415,-5.55189040676581,2,161.67147124201,1.87677748437618,5265
"80",80,"Masu2","Masu",21,0.00395281050291747,2.74500729369269,76,5.6,350,2,1,1.00978373204091,-5.53332843335332,2,164.700437621561,1.91193950683074,5355
"81",81,"Masu2","Masu",21,0.00421489580439013,2.92701097527092,77,5.6,350,2,1,1.07398175736822,-5.46913040802601,2,175.620658516255,2.03870785094321,5385
"82",82,"Masu2","Masu",22,0.00491277716032229,3.41165080577936,80,5.6,350,2,1,1.22719628141998,-5.31591588397424,2,204.699048346762,2.37626689519854,5475
"83",83,"Masu2","Masu",22,0.00472012364545704,3.2778636426785,81,5.6,350,2,1,1.18719188173785,-5.35592028365638,2,196.67181856071,2.28308209265646,5505
"84",84,"Masu2","Masu",22,0.00470725757154766,3.26892886913032,82,5.6,350,2,1,1.18446236829161,-5.35864979710262,2,196.135732147819,2.27685888641194,5535
"85",85,"Masu2","Masu",22,0.00494147263128643,3.43157821617113,83,5.6,350,2,1,1.23302027668718,-5.31009188870705,2,205.894692970268,2.39014664090428,5565
"86",86,"Ito5","Ito",19,0.00725228073864358,5.03630606850249,2,14.8,1350,2,2,1.6166728904478,-4.92643927494643,1,302.178364110149,3.90364994179409,60
"87",87,"Ito5","Ito",18,0.00705684131477954,4.90058424637468,4,14.8,1350,2,2,1.58935443196279,-4.95375773343143,1,294.035054782481,3.79845171201157,120
"88",88,"Ito5","Ito",18,0.00703406742113049,4.88476904245173,5,14.8,1350,2,2,1.58612200545214,-4.95699015994209,1,293.086142547104,3.78619331884929,150
"89",89,"Ito5","Ito",19,0.00675437553975196,4.69053856927219,6,14.8,1350,2,2,1.54554740939884,-4.99756475599539,1,281.432314156331,3.6356449278244,180
"90",90,"Ito5","Ito",19,0.00653200160705302,4.53611222712015,7,14.8,1350,2,2,1.51207030754799,-5.03104185784624,1,272.166733627209,3.5159487907442,210
"91",91,"Ito5","Ito",20,0.00723443388929359,5.02391242312055,14,14.8,1350,2,2,1.61420899731025,-4.92890316808398,1,301.434745387233,3.89404360484479,420
"92",92,"Ito5","Ito",20,0.00555469499785982,3.8574270818471,15,14.8,1350,2,2,1.35000040212048,-5.19311176327375,1,231.445624910826,2.98989870724929,450
"93",93,"Ito5","Ito",20,0.00572111960529571,3.9729997258998,16,14.8,1350,2,2,1.37952140784172,-5.16359075755251,1,238.379983553988,3.07947927266625,480
"94",94,"Ito5","Ito",21,0.00578177699511127,4.01512291327172,17,14.8,1350,2,2,1.39006796044738,-5.15304420494685,1,240.907374796303,3.1121290313775,510
"95",95,"Ito5","Ito",21,0.0061919260605423,4.29994865315438,18,14.8,1350,2,2,1.45860308150133,-5.0845090838929,1,257.996919189263,3.33289797746441,540
"96",96,"Ito5","Ito",21,0.00634247463634801,4.40449627524167,19,14.8,1350,2,2,1.48262589989626,-5.06048626549796,1,264.2697765145,3.41393302841736,570
"97",97,"Ito5","Ito",21,0.00656074269879758,4.55607131860943,20,14.8,1350,2,2,1.51646069923973,-5.0266514661545,1,273.364279116566,3.53141911865332,600
"98",98,"Ito5","Ito",22,0.0067782443321342,4.70711411953764,21,14.8,1350,2,2,1.54907500676875,-4.99403715862547,1,282.426847172258,3.64849266681183,630
"99",99,"Ito5","Ito",22,0.00654634478045702,4.54607276420626,22,14.8,1350,2,2,1.51426373150689,-5.02884843388734,1,272.764365852376,3.52366922105316,660
"100",100,"Ito5","Ito",22,0.00682231400614287,4.73771805982144,24,14.8,1350,2,2,1.55555559780762,-4.98755656758661,1,284.263083589286,3.67221383627265,720
"101",101,"Ito5","Ito",23,0.00683714988397678,4.74802075276165,25,14.8,1350,2,2,1.55772784758068,-4.98538431781355,1,284.881245165699,3.6801994722029,750
"102",102,"Ito5","Ito",23,0.00746282976502484,5.18252067015614,27,14.8,1350,2,2,1.64529155377255,-4.89782061162168,1,310.951240209368,4.01698114396315,810
"103",103,"Ito5","Ito",23,0.00746025675300193,5.18073385625134,31,14.8,1350,2,2,1.64494671732798,-4.89816544806625,1,310.84403137508,4.01559618127411,930
"104",104,"Ito5","Ito",24,0.00791551564623803,5.49688586544308,39,14.8,1350,2,2,1.70418172560004,-4.83893043979419,1,329.813151926585,4.26064617535566,1170
"105",105,"Ito5","Ito",24,0.00937227841066965,6.50852667407614,40,14.8,1350,2,2,1.87311311326063,-4.6699990521336,1,390.511600444568,5.04477079566715,1200
"106",106,"Ito5","Ito",20,0.00722594842411179,5.01801973896652,48,14.8,1350,2,2,1.61303538156872,-4.93007678382551,2,301.081184337991,3.88947617470015,1440
"107",107,"Ito5","Ito",22,0.0071520427596254,4.96669636085097,84,14.8,1350,2,2,1.60275490296026,-4.94035726243397,2,298.001781651058,3.84969533150509,2520
"108",108,"Ito5","Ito",23,0.00741602284418339,5.15001586401624,87,14.8,1350,2,2,1.6389997950624,-4.90411237033182,2,309.000951840974,3.99178660993957,2610
"109",109,"Ito5","Ito",23,0.00730040153796477,5.06972329025332,88,14.8,1350,2,2,1.62328623825436,-4.91982592713987,2,304.183397415199,3.92955169080779,2640
"110",110,"Ito5","Ito",24,0.0084020886432417,5.83478378002896,94,14.8,1350,2,2,1.76383720935853,-4.7792749560357,2,350.087026801738,4.52255146003541,2820
"111",111,"Ito7","Ito",19,0.00496006672835227,3.44449078357796,2,41.2,2880,2,2,1.23677608035526,-5.30633608503897,1,206.669447014678,2.98809005648951,60
"112",112,"Ito7","Ito",18,0.00516253384300379,3.58509294653041,3,41.2,2880,2,2,1.27678440022328,-5.26632776517094,1,215.105576791825,3.11006220025083,90
"113",113,"Ito7","Ito",19,0.00501515154425313,3.48274412795356,7,41.2,2880,2,2,1.24782052556547,-5.29529163982876,1,208.964647677214,3.02127476945235,210
"114",114,"Ito7","Ito",21,0.00490997436720553,3.40970442167051,10,41.2,2880,2,2,1.22662560767649,-5.31648655771774,1,204.582265300231,2.95791294508231,300
"115",115,"Ito7","Ito",20,0.0045136405851679,3.13447262858882,14,41.2,2880,2,2,1.14246093938839,-5.40065122600584,1,188.068357715329,2.71914981990336,420
"116",116,"Ito7","Ito",23,0.00561273579230476,3.89773318910053,31,41.2,2880,2,2,1.36039515058992,-5.1827170148043,1,233.863991346032,3.38127709347573,930
"117",117,"Ito7","Ito",23,0.00386793578583046,2.68606651793782,32,41.2,2880,2,2,0.988077862477138,-5.55503430291709,1,161.163991076269,2.33015826071748,960
"118",118,"Ito7","Ito",24,0.00554024031486635,3.84738910754608,36,41.2,2880,2,2,1.3473947643652,-5.19571740102903,1,230.843346452765,3.33760368601209,1080
"119",119,"Ito7","Ito",24,0.00597202472099853,4.14723938958231,41,41.2,2880,2,2,1.42244290556448,-5.12066925982975,1,248.834363374939,3.59772330963243,1230
"120",120,"Ito7","Ito",24,0.00570369076631316,3.96089636549525,42,41.2,2880,2,2,1.37647035457502,-5.16664181081921,1,237.653781929715,3.43607104450652,1260
"121",121,"Ito7","Ito",19,0.00471866685729855,3.2768519842351,46,41.2,2880,2,2,1.18688320062672,-5.35622896476751,1,196.611119054106,2.84266367538655,1380
"122",122,"Ito7","Ito",20,0.00505479750847724,3.51027604755364,47,41.2,2880,2,2,1.25569468041202,-5.28741748498221,1,210.616562853218,3.04515866415902,1410
"123",123,"Ito7","Ito",20,0.00509054180638094,3.53509847665343,49,41.2,2880,2,2,1.26274115657111,-5.28037100882312,2,212.105908599206,3.06669208033903,1470
"124",124,"Ito7","Ito",21,0.00571917157139119,3.97164692457721,52,41.2,2880,2,2,1.37918085113853,-5.1639313142557,2,238.298815474633,3.44539713672533,1560
"125",125,"Ito7","Ito",22,0.00591328995918493,4.10645136054509,54,41.2,2880,2,2,1.41255923962415,-5.13055292577008,2,246.387081632705,3.56233976191879,1620
"126",126,"Ito7","Ito",18,0.00525583820748479,3.64988764408666,66,41.2,2880,2,2,1.2946963846786,-5.24841578071563,2,218.9932586452,3.1662714931902,1980
"127",127,"Ito7","Ito",21,0.0052664943714138,3.65728775792625,75,41.2,2880,2,2,1.29672182295326,-5.24639034244097,2,219.437265475575,3.17269107970394,2250
"128",128,"Ito7","Ito",21,0.00572441574655315,3.97528871288413,76,41.2,2880,2,2,1.38009737764081,-5.16301478775341,2,238.517322773048,3.44855638205693,2280
"129",129,"Ito7","Ito",22,0.00563652337083925,3.91425234086059,83,41.2,2880,2,2,1.36462433824485,-5.17848782714938,2,234.855140451635,3.39560743029974,2490
"130",130,"Ito7","Ito",22,0.00548079234523073,3.80610579529912,86,41.2,2880,2,2,1.33660656546585,-5.20650559992838,2,228.366347717947,3.30179048093336,2580
"131",131,"Ito7","Ito",23,0.00552467560298573,3.8365802798512,88,41.2,2880,2,2,1.34458141770043,-5.1985307476938,2,230.194816791072,3.32822704586796,2640
"132",132,"Ito8","Ito",22,0.00615117181673273,4.27164709495329,7,3.8,350,3,1,1.45199948938634,-5.09111267600788,1,256.298825697197,2.85102826622504,7360
"133",133,"Ito8","Ito",22,0.00603608195258914,4.1917235781869,8,3.8,350,3,1,1.43311200452657,-5.11000016086766,1,251.503414691214,2.79768486018705,7390
"134",134,"Ito8","Ito",22,0.0060140258258873,4.17640682353284,9,3.8,350,3,1,1.42945126526374,-5.11366090013049,1,250.58440941197,2.78746198842474,7420
"135",135,"Ito8","Ito",22,0.00632983197086898,4.39571664643679,11,3.8,350,3,1,1.48063057732944,-5.06248158806479,1,263.742998786207,2.933836089623,7480
"136",136,"Ito8","Ito",22,0.00609583802518241,4.23322085082112,12,3.8,350,3,1,1.44296313377125,-5.10014903162298,1,253.993251049267,2.82538141250552,7510
"137",137,"Ito8","Ito",22,0.00635288311080565,4.41172438250392,26,3.8,350,3,1,1.48426562947255,-5.05884653592168,2,264.703462950235,2.94452014357015,7930
"138",138,"Ito8","Ito",22,0.00638461297728903,4.43375901200627,27,3.8,350,3,1,1.48924775969597,-5.05386440569826,2,266.025540720376,2.9592267310177,7960
"139",139,"Ito8","Ito",21,0.00700544595721028,4.86489302584047,30,3.8,350,3,1,1.58204472687422,-4.96106743852001,2,291.893581550428,3.24697879307933,8050
"140",140,"Ito8","Ito",21,0.00726088796595544,5.04228330969127,31,3.8,350,3,1,1.61785901712987,-4.92525314826436,2,302.536998581476,3.36537450840184,8080
"141",141,"Ito8","Ito",21,0.00576670975855856,4.00465955455455,32,3.8,350,3,1,1.3874585718022,-5.15565359359202,2,240.279573273273,2.67283259427779,8110
"142",142,"Ito8","Ito",21,0.00728996446381302,5.06247532209238,33,3.8,350,3,1,1.62185555777236,-4.92125660762187,2,303.748519325543,3.37885127669001,8140
"143",143,"Ito9","Ito",22,0.00761771148551357,5.29007742049554,10,19.8,1350,3,1,1.66583288101747,-4.87727928437676,1,317.404645229732,4.23374952016412,7450
"144",144,"Ito9","Ito",22,0.00669773775543711,4.6512067746091,11,19.8,1350,3,1,1.53712670735072,-5.00598545804351,1,279.072406476546,3.72244919779279,7480
"145",145,"Ito9","Ito",22,0.00811788224001611,5.63741822223341,13,19.8,1350,3,1,1.7294261986896,-4.81368596670463,1,338.245093334005,4.51173296649209,7540
"146",146,"Ito9","Ito",22,0.00811043471671421,5.63224633105153,18,19.8,1350,3,1,1.728508355657,-4.81460380973722,1,337.934779863092,4.50759380366532,7690
"147",147,"Ito9","Ito",22,0.00651875167344457,4.52691088433651,22,19.8,1350,3,1,1.5100397828915,-5.03307238250273,2,271.614653060191,3.62297283403276,7810
"148",148,"Ito9","Ito",22,0.00766841193260749,5.32528606431076,24,19.8,1350,3,1,1.67246643114989,-4.87064573424433,2,319.517163858646,4.26192766710027,7870
"149",149,"Ito9","Ito",22,0.00805965242870484,5.59698085326725,25,19.8,1350,3,1,1.72222731901133,-4.8208848463829,2,335.818851196035,4.47937017142337,7900
"150",150,"Masu5","Masu",22,0.00882714935435277,6.12996482941165,12,3.8,350,3,1,1.81318901247842,-4.72992315291581,1,367.797889764699,4.0913265096889,7510
"151",151,"Masu5","Masu",22,0.00811969494450202,5.63867704479307,21,3.8,350,3,1,1.72964947146889,-4.81346269392534,2,338.320622687584,3.76342597632006,7780
"152",152,"Masu5","Masu",22,0.00767989909477768,5.33326326026228,23,3.8,350,3,1,1.67396329478454,-4.86914887060969,2,319.995795615737,3.55958345065337,7840
"153",153,"Masu5","Masu",22,0.00751234992176188,5.21690966789019,24,3.8,350,3,1,1.65190520893735,-4.89120695645688,2,313.014580073411,3.48192549498527,7870
"154",154,"Masu5","Masu",22,0.0089765118965794,6.23368881706903,25,3.8,350,3,1,1.82996826304263,-4.7131439023516,2,374.021329024142,4.1605550798688,7900
"155",155,"Masu5","Masu",22,0.00867458065836999,6.02401434609027,26,3.8,350,3,1,1.79575387198385,-4.74735829341038,2,361.440860765416,4.02061190802475,7930
"156",156,"Masu5","Masu",22,0.00883162691390881,6.13307424577,27,3.8,350,3,1,1.81369613251709,-4.72941603287714,2,367.9844547462,4.09340182952035,7960
"157",157,"Masu5","Masu",21,0.00650246676708436,4.51560192158636,35,3.8,350,3,1,1.50753849394914,-5.03557367144509,2,270.936115295182,3.01385119867998,8200
"158",158,"Masu5","Masu",21,0.00627980491657048,4.36097563650728,37,3.8,350,3,1,1.47269580216932,-5.0704163632249,2,261.658538190437,2.91064887422236,8260
"159",159,"Masu5","Masu",21,0.00658997265322231,4.57636989807105,38,3.8,350,3,1,1.52090608517925,-5.02220608021498,2,274.582193884263,3.05440960970692,8290
"160",160,"Masu5","Masu",21,0.00702379842353863,4.87763779412405,39,3.8,350,3,1,1.58466104408974,-4.95845112130449,2,292.658267647443,3.25548504226501,8320
"161",161,"Masu6","Masu",22,0.00914736152199149,6.35233439027187,17,3.4,350,3,1,1.84882236586399,-4.69428979953024,1,381.140063416312,4.18818631981955,7660
"162",162,"Masu6","Masu",22,0.00911010705588145,6.32646323325101,18,3.4,350,3,1,1.84474134908379,-4.69837081631044,1,379.587793995061,4.17112909026334,7690
"163",163,"Masu6","Masu",22,0.00887434744945482,6.16274128434362,19,3.4,350,3,1,1.81852169224835,-4.72459047314588,2,369.764477060617,4.06318483157976,7720
"164",164,"Masu6","Masu",22,0.0086364254776654,5.9975176928232,20,3.4,350,3,1,1.79134566576041,-4.75176649963382,2,359.851061569392,3.95425051811273,7750
"165",165,"Masu6","Masu",22,0.00867781932889856,6.02626342284622,21,3.4,350,3,1,1.79612715413139,-4.74698501126283,2,361.575805370773,3.9732029953973,7780
"166",166,"Masu6","Masu",22,0.00908718598303437,6.31054582155164,22,3.4,350,3,1,1.84222217385042,-4.70088999154381,2,378.632749293098,4.16063450955796,7810
"167",167,"Masu6","Masu",22,0.00877592893450799,6.09439509340832,23,3.4,350,3,1,1.80736951164348,-4.73574265375075,2,365.663705604499,4.01812319528974,7840
"168",168,"Masu6","Masu",21,0.00682059460961372,4.73652403445397,37,3.4,350,3,1,1.55530354062734,-4.98780862476689,2,284.191442067238,3.12285908546883,8260
"169",169,"Masu6","Masu",21,0.0067424405472109,4.68225038000757,39,3.4,350,3,1,1.543778844787,-4.99933332060723,2,280.935022800454,3.08707567686441,8320
"170",170,"Masu6","Masu",21,0.00654430609809906,4.54465701256879,40,3.4,350,3,1,1.51395226000049,-5.02915990539374,2,272.679420754127,2.99635837141407,8350
"171",171,"Masu6","Masu",21,0.00635933118676754,4.41620221303301,41,3.4,350,3,1,1.48528009892121,-5.05783206647301,2,264.972132781981,2.91166625650355,8380
"172",172,"Masu9","Masu",22,0.0112030636862729,7.77990533768953,12,2.9,350,3,2,2.05154417072419,-4.49156799467004,1,466.794320261372,5.04043541109855,4435
"173",173,"Masu9","Masu",22,0.0108584231251975,7.54057161472051,21,2.9,350,3,2,2.02029799011725,-4.52281417527698,2,452.434296883231,4.88537617580439,4705
"174",174,"Masu9","Masu",22,0.0104674248593958,7.26904504124706,24,2.9,350,3,2,1.9836249268304,-4.55948723856383,2,436.142702474824,4.70945987649422,4795
"175",175,"Masu9","Masu",22,0.0107484684442996,7.46421419743027,25,2.9,350,3,2,2.01012016053819,-4.53299200485603,2,447.852851845816,4.83590582709138,4825
"176",176,"Masu9","Masu",22,0.0104408416130917,7.25058445353588,26,2.9,350,3,2,1.98108207989824,-4.56203008549599,2,435.035067212153,4.6974996538475,4855
"177",177,"Masu9","Masu",22,0.0109439675772005,7.59997748416701,27,2.9,350,3,2,2.02814528467829,-4.51496688071593,2,455.998649050021,4.92386397674647,4885
"178",178,"Masu9","Masu",22,0.01067654156806,7.41426497781947,28,2.9,350,3,2,2.00340584428673,-4.5397063211075,2,444.855898669168,4.80354478870401,4915
"179",179,"Masu9","Masu",21,0.00917121997489708,6.3689027603452,31,2.9,350,3,2,1.85142720362394,-4.69168496177029,2,382.134165620712,4.12627681310849,5005
"180",180,"Masu9","Masu",21,0.00931941976219437,6.47181927930165,37,2.9,350,3,2,1.86745725589624,-4.67565490949798,2,388.309156758099,4.19295423963475,5185
"181",181,"Masu9","Masu",21,0.00874690210882337,6.07423757557178,38,2.9,350,3,2,1.80405647938709,-4.73905568600714,2,364.454254534307,3.93536949903686,5215
"182",182,"Masu9","Masu",21,0.0093271701909532,6.47720152149528,41,2.9,350,3,2,1.86828855311731,-4.67482361227692,2,388.632091289717,4.19644128002488,5305
"183",183,"Masu7","Masu",22,0.00404452854771971,2.80870038036091,8,29.6,1350,3,2,1.03272187826822,-5.51039028712601,1,168.522022821655,2.34951089254972,4315
"184",184,"Masu7","Masu",22,0.00492745488611695,3.42184367091455,13,29.6,1350,3,2,1.2301794908831,-5.31293267451113,1,205.310620254873,2.86241246436652,4465
"185",185,"Masu7","Masu",22,0.00496435297342354,3.44746734265523,15,29.6,1350,3,2,1.2376398578791,-5.30547230751513,1,206.848040559314,2.8838469670578,4525
